tf,params,roe,trades,win_rate
15min,9/10,126.95768824689296,88,71.5909090909091
15min,6/20,98.73344367372357,88,68.18181818181817
15min,6/25,98.53095258455704,88,68.18181818181817
15min,6/10,91.75357703620725,87,67.81609195402298
15min,3/15,91.53027972680826,87,67.81609195402298
15min,9/15,91.09574027476748,87,67.81609195402298
15min,6/15,89.9093570631193,88,67.04545454545455
15min,3/60,84.1953827833828,87,66.66666666666666
15min,9/30,83.31908735864346,88,65.9090909090909
15min,12/26,83.23203684675036,89,65.1685393258427
15min,9/20,83.16140262470054,87,66.66666666666666
15min,12/15,83.16140262470054,87,66.66666666666666
15min,3/20,83.10406548077512,87,66.66666666666666
15min,6/30,82.68513006971025,87,66.66666666666666
15min,9/26,82.3436599363352,88,65.9090909090909
15min,6/26,82.02427830793957,88,65.9090909090909
15min,3/50,79.67656332803244,87,66.66666666666666
15min,15/20,76.32748750503924,88,64.77272727272727
15min,12/25,76.32748750503924,88,64.77272727272727
15min,3/25,75.64685952806957,87,65.51724137931035
15min,3/26,75.64685952806957,87,65.51724137931035
15min,9/25,75.47258641204976,87,65.51724137931035
15min,12/20,75.47258641204976,87,65.51724137931035
5min,15/50,73.77658335227775,172,58.139534883720934
15min,3/30,68.7570454130917,87,64.36781609195403
15min,9/60,68.64511253280963,87,64.36781609195403
15min,12/50,68.64511253280963,87,64.36781609195403
15min,6/50,68.36171248100601,88,63.63636363636363
1min,15/60,66.89212742288518,303,53.46534653465347
5min,15/60,66.16319577746654,174,57.47126436781609
1min,12/60,64.95250652345311,303,53.46534653465347
1min,15/100,64.12623825475094,306,52.94117647058824
15min,3/10,63.569539130333396,88,62.5
15min,12/60,62.01858551776787,87,63.2183908045977
15min,6/100,62.01858551776787,87,63.2183908045977
15min,15/50,62.01858551776787,87,63.2183908045977
15min,3/100,61.853069895078704,87,63.2183908045977
15min,15/30,61.853069895078704,87,63.2183908045977
15min,9/50,61.853069895078704,87,63.2183908045977
15min,6/60,61.853069895078704,87,63.2183908045977
15min,15/25,61.73410419158149,88,62.5
5min,12/50,61.56850462900405,177,55.932203389830505
5min,15/30,61.30006249533066,175,56.57142857142857
5min,12/60,56.91799741311549,174,56.896551724137936
15min,15/60,55.18800635394885,87,62.06896551724138
15min,12/100,55.17769824024842,87,62.06896551724138
15min,12/30,55.113962978888544,87,62.06896551724138
5min,12/100,52.62229638569917,173,56.06936416184971
5min,15/100,52.17166282797453,174,55.74712643678161
5min,9/50,52.05561741879592,178,55.0561797752809
15min,15/26,49.599635747857064,88,60.22727272727273
5min,9/100,49.06766893697409,172,56.395348837209305
15min,15/100,48.946413114964486,87,60.91954022988506
15min,9/100,48.86601723211743,87,60.91954022988506
5min,6/60,48.2914632683065,178,55.0561797752809
5min,9/60,48.168142478670234,175,55.42857142857143
5min,15/25,47.907429991247966,175,55.42857142857143
5min,15/26,46.36644347641354,173,55.49132947976878
1min,12/100,43.65211247687051,305,52.131147540983605
1min,9/100,40.34654033051277,305,50.81967213114754
1min,15/50,38.76740054837671,305,51.80327868852459
5min,12/30,38.46468782856249,174,54.59770114942529
5min,6/50,37.389828903137214,179,53.63128491620112
5min,9/10,35.328166631899336,175,53.714285714285715
5min,6/15,31.671749628723862,175,53.142857142857146
5min,6/10,27.96645047375242,180,52.22222222222223
1min,6/100,27.38908617881492,312,49.67948717948718
5min,9/20,25.689851323568792,174,54.02298850574713
5min,9/15,24.383678137279574,174,53.44827586206896
5min,9/26,22.814632377337503,176,53.40909090909091
5min,12/15,22.09308870537535,173,53.179190751445084
5min,3/100,21.84446717775768,174,52.87356321839081
5min,15/20,21.80508249424676,176,53.40909090909091
5min,3/60,18.379800990842938,179,51.955307262569825
5min,6/20,17.733311103061354,175,52.57142857142857
5min,6/100,16.672325197956795,178,52.24719101123596
5min,12/25,16.20616011383997,175,52.57142857142857
5min,12/26,16.06465736005977,176,52.27272727272727
5min,9/30,16.06465736005977,176,52.27272727272727
5min,6/26,15.89528154805363,174,52.87356321839081
5min,6/25,15.89528154805363,174,52.87356321839081
5min,6/30,15.186862011748104,177,52.54237288135594
5min,12/20,13.427443136902156,176,51.70454545454546
5min,9/25,12.720740535083152,177,51.9774011299435
5min,3/50,12.353730322062376,183,50.27322404371585
1min,12/50,12.266202197272577,315,49.2063492063492
1min,9/60,11.182429729522156,305,49.50819672131148
5min,3/30,10.815890535427812,176,51.13636363636363
5min,3/26,9.19105422954685,176,50.56818181818182
5min,3/25,9.044135537877722,176,50.56818181818182
5min,3/10,4.950633583550882,179,49.72067039106145
5min,3/15,2.41373290265453,178,49.43820224719101
5min,3/20,-6.31681414099802,178,48.31460674157304
1min,15/30,-7.578735114852933,324,47.53086419753087
1min,9/50,-7.759290342640085,322,47.20496894409938
1min,3/100,-17.46991748866182,334,44.91017964071856
30s,6/20,-18.250792904011917,403,41.935483870967744
30s,6/25,-20.78154223010975,402,41.7910447761194
30s,6/26,-21.670359716415163,405,41.23456790123457
30s,9/20,-25.782539964923217,392,42.60204081632653
30s,12/15,-26.047673584492216,392,42.857142857142854
1min,6/60,-27.13706631056506,337,45.6973293768546
1min,15/26,-29.634824520596737,326,45.39877300613497
30s,6/15,-30.15946678183171,434,40.55299539170507
1min,3/30,-31.967563661429722,346,42.77456647398844
30s,9/15,-32.13155174712581,400,41.5
30s,6/30,-32.15649439971827,408,41.17647058823529
30s,3/30,-32.4641100654558,450,38.22222222222222
30s,15/100,-32.804232217583774,341,45.45454545454545
30s,3/26,-33.52875949436641,462,36.79653679653679
30s,9/10,-33.93951197916749,442,40.27149321266968
30s,9/25,-34.18229916183853,405,42.96296296296296
1min,12/30,-34.41081199198972,330,45.75757575757576
1min,6/10,-34.486061867276206,364,41.75824175824176
30s,9/26,-36.24194469287517,403,42.92803970223325
30s,3/25,-36.60217034366158,462,36.36363636363637
30s,6/10,-37.12526416207453,482,37.344398340248965
1min,3/15,-37.45111623453002,384,39.32291666666667
1min,3/10,-37.6482269823744,382,40.31413612565445
30s,12/20,-38.141952991492445,403,43.17617866004963
30s,9/60,-38.19366644055985,361,41.55124653739612
30s,12/50,-38.67967262529801,362,42.5414364640884
1min,3/26,-39.08515370137159,362,40.607734806629836
1min,15/25,-39.54392366388856,334,44.91017964071856
30s,12/60,-40.503459118008585,346,42.48554913294797
30s,9/30,-40.82776573044321,405,42.46913580246914
30s,9/50,-42.04915445814776,371,42.04851752021563
30s,3/20,-42.381952119184845,481,34.303534303534306
1min,3/60,-42.561394726284604,357,42.296918767507
1min,6/50,-42.63628194916753,347,43.804034582132566
30s,15/50,-42.675416033626355,354,42.93785310734463
1min,9/30,-42.70167317417436,335,42.98507462686567
1min,12/25,-43.5584162047607,335,43.28358208955223
1min,15/20,-43.639518017154856,337,43.02670623145401
30s,15/60,-43.728268728027345,354,43.22033898305085
30s,3/100,-44.301745892746666,394,38.578680203045685
1min,12/26,-44.35922242828112,336,44.047619047619044
1min,9/25,-44.54660940415492,341,41.935483870967744
30s,6/50,-44.839173123128006,393,40.20356234096692
1min,3/20,-45.00105877356958,382,39.26701570680628
30s,6/60,-45.145867122723025,380,39.73684210526316
30s,15/20,-45.26253047522362,406,41.13300492610838
30s,12/30,-45.284639564548954,390,41.794871794871796
30s,3/60,-45.60892856953742,422,37.44075829383886
30s,3/15,-45.7756095713442,516,33.91472868217054
30s,3/50,-46.02203175867637,452,36.72566371681416
1min,3/25,-46.34512104967036,374,39.57219251336899
30s,12/100,-46.74690302388425,364,42.30769230769231
30s,12/26,-46.79567006144414,403,41.43920595533499
30s,12/25,-46.81574026840234,405,40.98765432098765
1min,6/25,-46.83620246880682,345,41.15942028985507
