tf,params,trades,win_rate,roe,balance
5min,12/50,340,53.23529411764706,-86.31138167206575,27.377236655868487
5min,9/60,340,52.94117647058824,-86.96372324946408,26.072553501071848
5min,12/60,340,52.94117647058824,-86.96372324946408,26.072553501071848
5min,9/50,349,51.862464183381086,-88.59536143794897,22.809277124102064
1min,12/60,359,50.13927576601671,-89.38772174853904,21.224556502921935
5min,9/20,363,50.964187327823694,-89.68633817788222,20.627323644235545
5min,6/60,347,51.008645533141205,-89.89413224547889,20.211735509042242
5min,12/20,359,51.25348189415042,-90.01628426269764,19.967431474604716
5min,6/20,365,50.68493150684932,-90.12468448416787,19.750631031664245
5min,3/60,357,50.700280112044815,-90.39830980169084,19.203380396618304
5min,3/26,367,50.40871934604905,-90.61878899809587,18.76242200380828
5min,12/30,349,50.71633237822349,-90.68454101193392,18.63091797613217
5min,3/30,365,50.41095890410959,-90.69888322251032,18.60223355497936
5min,12/26,356,50.56179775280899,-90.9064444974888,18.18711100502238
5min,9/26,357,50.700280112044815,-90.90972795816134,18.180544083677333
5min,6/50,359,50.41782729805014,-90.93099732736941,18.138005345261174
5min,6/26,369,50.135501355013545,-91.17233510760371,17.655329784792578
5min,9/30,360,50.27777777777778,-91.32401798086795,17.351964038264093
5min,6/30,367,49.59128065395095,-91.381139252906,17.237721494188015
5min,3/50,361,50.13850415512465,-91.92576140757961,16.148477184840758
1min,12/50,374,47.32620320855615,-92.31549428197735,15.36901143604529
5min,3/20,370,48.91891891891892,-92.64565179595789,14.708696408084222
1min,9/60,366,47.26775956284153,-92.77454351406305,14.4509129718739
30s,6/20,456,41.44736842105263,-93.51442514067755,12.971149718644915
30s,6/26,461,43.16702819956616,-93.74129910133321,12.517401797333582
1min,9/50,384,45.3125,-93.98082068561624,12.038358628767536
30s,3/26,514,37.93774319066148,-94.12629349208855,11.747413015822904
30s,3/30,503,38.56858846918489,-94.35239414622312,11.295211707553767
30s,6/30,458,41.70305676855895,-94.60805921712877,10.783881565742455
30s,3/20,541,36.78373382624769,-94.82527115891833,10.349457682163349
1min,6/60,392,45.40816326530612,-94.84753552993458,10.304928940130853
30s,9/26,446,42.152466367713004,-95.0981535377862,9.803692924427589
30s,9/20,450,42.66666666666667,-95.15904174102432,9.68191651795136
1min,12/30,385,44.675324675324674,-95.60212944865738,8.795741102685234
30s,3/50,496,38.104838709677416,-95.72538259552987,8.54923480894028
30s,9/60,422,42.41706161137441,-95.78571424125779,8.428571517484412
30s,3/60,471,38.004246284501065,-95.7985030161485,8.402993967702987
30s,9/30,447,40.49217002237137,-95.91430046826635,8.171399063467314
30s,12/26,445,41.12359550561798,-95.95248524993863,8.095029500122747
1min,12/26,387,43.669250645994836,-96.02094628691724,7.958107426165537
30s,12/20,446,42.600896860986545,-96.02550796427161,7.94898407145677
30s,9/50,431,42.22737819025522,-96.13087543649448,7.738249127011041
30s,12/30,437,41.41876430205949,-96.17427654187085,7.651446916258305
30s,6/60,447,40.7158836689038,-96.17994941357037,7.640101172859254
1min,6/50,402,43.53233830845771,-96.18073415351031,7.638531692979365
30s,12/60,408,44.11764705882353,-96.28739918838954,7.425201623220923
30s,6/50,446,40.80717488789238,-96.33007292672879,7.339854146542409
1min,9/30,393,43.25699745547074,-96.4232467509266,7.153506498146806
1min,6/30,409,42.298288508557455,-96.46770557547485,7.064588849050293
1min,12/20,415,43.373493975903614,-96.59211129161429,6.815777416771414
1min,9/26,413,42.615012106537534,-96.6416570806105,6.716685838779012
1min,3/30,433,41.339491916859124,-96.67202444369732,6.655951112605339
30s,12/50,415,43.855421686746986,-96.74432247408615,6.511355051827713
1min,3/20,463,39.09287257019439,-96.76820708807105,6.463585823857909
1min,6/26,413,41.64648910411623,-96.80058698672947,6.398826026541062
1min,9/20,428,42.28971962616823,-96.88844760809296,6.223104783814093
1min,3/26,440,39.54545454545455,-96.89641096615898,6.207178067682041
1min,3/60,434,41.705069124423964,-96.95431764927177,6.091364701456455
1min,6/20,425,39.76470588235294,-97.0909264191088,5.818147161782396
1min,3/50,440,40.22727272727273,-97.23039475575499,5.539210488490039
