ts,open,high,low,close,volume,ts_iso
1731823200000,236.59,237.2,235.87,236.21,5612.421699,2024-11-17 06:00:00+00:00
1731823500000,236.21,236.69,235.64,236.19,5349.863021,2024-11-17 06:05:00+00:00
1731823800000,236.19,237.69,236.09,237.69,5659.591721,2024-11-17 06:10:00+00:00
1731824100000,237.66,238.88,237.26,237.33,14390.85924,2024-11-17 06:15:00+00:00
1731824400000,237.32,237.41,236.31,236.44,5577.528718,2024-11-17 06:20:00+00:00
1731824700000,236.43,238.18,236.35,237.62,13328.133135,2024-11-17 06:25:00+00:00
1731825000000,237.59,237.94,236.69,236.83,5308.979303,2024-11-17 06:30:00+00:00
1731825300000,236.84,237.98,236.84,237.04,3558.658113,2024-11-17 06:35:00+00:00
1731825600000,237.05,239.23,236.74,238.84,14980.389576,2024-11-17 06:40:00+00:00
1731825900000,238.85,238.89,237.64,237.99,7148.095884,2024-11-17 06:45:00+00:00
1731826200000,237.98,239.9,237.92,239.88,9665.440342,2024-11-17 06:50:00+00:00
1731826500000,239.88,239.88,237.64,239.44,10992.114576,2024-11-17 06:55:00+00:00
1731826800000,239.46,239.76,237.97,238.21,3690.081808,2024-11-17 07:00:00+00:00
1731827100000,238.19,238.59,237.01,237.25,5261.864049,2024-11-17 07:05:00+00:00
1731827400000,237.26,237.76,236.94,236.97,4010.600387,2024-11-17 07:10:00+00:00
1731827700000,236.97,237.35,236.53,236.55,4466.887303,2024-11-17 07:15:00+00:00
1731828000000,236.55,237.35,236.53,237.2,4440.771769,2024-11-17 07:20:00+00:00
1731828300000,237.2,237.82,236.92,237.38,3870.390231,2024-11-17 07:25:00+00:00
1731828600000,237.35,238.6,237.09,238.37,4969.111426,2024-11-17 07:30:00+00:00
1731828900000,238.37,238.43,237.89,238.02,1396.141858,2024-11-17 07:35:00+00:00
1731829200000,238.04,238.57,237.85,238.23,2496.384075,2024-11-17 07:40:00+00:00
1731829500000,238.27,238.27,236.79,236.83,5525.795573,2024-11-17 07:45:00+00:00
1731829800000,236.83,237.43,236.76,237.13,3446.142046,2024-11-17 07:50:00+00:00
1731830100000,237.09,237.48,237.0,237.26,1717.291762,2024-11-17 07:55:00+00:00
1731830400000,237.24,238.53,237.24,237.84,6455.105613,2024-11-17 08:00:00+00:00
1731830700000,237.87,238.88,237.49,238.56,2870.647694,2024-11-17 08:05:00+00:00
1731831000000,238.55,238.55,237.47,237.77,2548.729652,2024-11-17 08:10:00+00:00
1731831300000,237.72,238.63,237.61,237.67,3563.121753,2024-11-17 08:15:00+00:00
1731831600000,237.66,238.2,237.53,237.73,2855.364735,2024-11-17 08:20:00+00:00
1731831900000,237.73,238.59,237.71,238.48,2189.730588,2024-11-17 08:25:00+00:00
1731832200000,238.46,239.71,238.3,239.59,6021.534113,2024-11-17 08:30:00+00:00
1731832500000,239.58,240.98,239.16,240.42,12699.522363,2024-11-17 08:35:00+00:00
1731832800000,240.42,242.11,239.04,239.36,17736.246609,2024-11-17 08:40:00+00:00
1731833100000,239.39,239.7,238.82,239.39,6416.437252,2024-11-17 08:45:00+00:00
1731833400000,239.4,239.57,237.57,238.84,31436.277149,2024-11-17 08:50:00+00:00
1731833700000,238.83,239.16,237.32,237.59,14534.906153,2024-11-17 08:55:00+00:00
1731834000000,237.58,238.45,237.33,238.17,10731.275723,2024-11-17 09:00:00+00:00
1731834300000,238.17,238.71,237.76,237.82,4294.512775,2024-11-17 09:05:00+00:00
1731834600000,237.88,237.99,236.32,236.7,8641.474961,2024-11-17 09:10:00+00:00
1731834900000,236.73,236.82,235.69,236.19,10690.204331,2024-11-17 09:15:00+00:00
1731835200000,236.18,236.94,236.09,236.7,3644.295893,2024-11-17 09:20:00+00:00
1731835500000,236.72,237.34,236.67,237.15,2388.654784,2024-11-17 09:25:00+00:00
1731835800000,237.15,237.74,237.08,237.74,4020.287683,2024-11-17 09:30:00+00:00
1731836100000,237.74,237.99,237.56,237.6,2682.976836,2024-11-17 09:35:00+00:00
1731836400000,237.59,237.78,236.77,237.26,2195.485225,2024-11-17 09:40:00+00:00
1731836700000,237.25,237.27,236.39,237.01,2857.40574,2024-11-17 09:45:00+00:00
1731837000000,237.01,238.42,236.8,238.13,3620.618856,2024-11-17 09:50:00+00:00
1731837300000,238.13,238.47,238.1,238.15,3293.999695,2024-11-17 09:55:00+00:00
1731837600000,238.14,238.57,237.91,238.39,4055.210926,2024-11-17 10:00:00+00:00
1731837900000,238.39,238.47,237.39,237.92,3167.762164,2024-11-17 10:05:00+00:00
1731838200000,237.91,238.26,237.75,237.91,1212.40645,2024-11-17 10:10:00+00:00
