timestamp,datetime_utc,datetime_bj,action,price,size,position_before,position_after,equity,pnl,reason,ema_fast,ema_slow,gap_bps,signal
1766167020.459156,2025-12-19 17:57:00,2025-12-20 01:57:00,BarData,124.309,0,0.0,0.0,193.084295,0.0,❌ 震荡 (Gap 0.0 < 10),124.309,124.309,0.0,0
1766167080.1892376,2025-12-19 17:58:00,2025-12-20 01:58:00,BarData,124.314,0,0.0,0.0,193.084295,0.0,❌ 震荡 (Gap 0.4 < 10),124.314,124.309,0.4,0
1766167140.5879934,2025-12-19 17:59:00,2025-12-20 01:59:00,BarData,123.899,0,0.0,0.0,193.084295,0.0,✅ 触发交易,123.899,124.296,32.0,-1
1766167144.473734,2025-12-19 17:59:04,2025-12-20 01:59:04,Strategy_Open,123.899,1.0,0,0.0,193.084295,0.0,Strategy_Signal,123.899,124.296,32.0,-1
1766167200.266926,2025-12-19 18:00:00,2025-12-20 02:00:00,BarData,123.585,0,0.0,0.0,193.084295,0.0,✅ 触发交易,123.585,124.272,55.6,-1
1766167204.29278,2025-12-19 18:00:04,2025-12-20 02:00:04,Strategy_Open,123.585,1.0,0,0.0,193.084295,0.0,Strategy_Signal,123.585,124.272,55.6,-1
1766167260.2200222,2025-12-19 18:01:00,2025-12-20 02:01:00,BarData,123.706,0,0.0,0.0,193.084295,0.0,✅ 触发交易,123.706,124.254,44.3,-1
1766167264.2381456,2025-12-19 18:01:04,2025-12-20 02:01:04,Strategy_Open,123.706,1.0,0,0.0,193.084295,0.0,Strategy_Signal,123.706,124.254,44.3,-1
1766167320.0784023,2025-12-19 18:02:00,2025-12-20 02:02:00,BarData,123.76,0,0.0,0.0,193.084295,0.0,✅ 触发交易,123.760,124.238,38.6,-1
1766167323.6633735,2025-12-19 18:02:03,2025-12-20 02:02:03,Strategy_Open,123.76,1.0,0,0.0,193.084295,0.0,Strategy_Signal,123.760,124.238,38.6,-1
1766167380.9572842,2025-12-19 18:03:00,2025-12-20 02:03:00,BarData,123.872,0,0.0,0.0,193.084295,0.0,✅ 触发交易,123.872,124.226,28.6,-1
1766167384.840204,2025-12-19 18:03:04,2025-12-20 02:03:04,Strategy_Open,123.872,1.0,0,0.0,193.084295,0.0,Strategy_Signal,123.872,124.226,28.6,-1
1766167442.39304,2025-12-19 18:04:02,2025-12-20 02:04:02,BarData,123.78,0,0.0,0.0,193.084295,0.0,✅ 触发交易,123.780,124.211,34.8,-1
1766167446.3933923,2025-12-19 18:04:06,2025-12-20 02:04:06,Strategy_Open,123.78,1.0,0,0.0,193.084295,0.0,Strategy_Signal,123.780,124.211,34.8,-1
1766167502.643402,2025-12-19 18:05:02,2025-12-20 02:05:02,BarData,123.8,0,0.0,0.0,193.084295,0.0,✅ 触发交易,123.800,124.198,32.1,-1
1766167506.6068287,2025-12-19 18:05:06,2025-12-20 02:05:06,Strategy_Open,123.8,1.0,0,0.0,193.084295,0.0,Strategy_Signal,123.800,124.198,32.1,-1
1766167560.5647933,2025-12-19 18:06:00,2025-12-20 02:06:00,BarData,124.0,0,0.0,0.0,193.084295,0.0,✅ 触发交易,124.000,124.191,15.4,-1
1766167564.4418292,2025-12-19 18:06:04,2025-12-20 02:06:04,Strategy_Open,124.0,1.0,0,0.0,193.084295,0.0,Strategy_Signal,124.000,124.191,15.4,-1
1766167621.7169087,2025-12-19 18:07:01,2025-12-20 02:07:01,BarData,124.058,0,0.0,0.0,193.084295,0.0,✅ 触发交易,124.058,124.187,10.4,-1
1766167625.575574,2025-12-19 18:07:05,2025-12-20 02:07:05,Strategy_Open,124.058,1.0,0,0.0,193.084295,0.0,Strategy_Signal,124.058,124.187,10.4,-1
1766167680.5391667,2025-12-19 18:08:00,2025-12-20 02:08:00,BarData,123.885,0,0.0,0.0,193.084295,0.0,✅ 触发交易,123.885,124.177,23.6,-1
1766167684.3993828,2025-12-19 18:08:04,2025-12-20 02:08:04,Strategy_Open,123.885,1.0,0,0.0,193.084295,0.0,Strategy_Signal,123.885,124.177,23.6,-1
1766167740.3737583,2025-12-19 18:09:00,2025-12-20 02:09:00,BarData,124.003,0,0.0,0.0,193.084295,0.0,✅ 触发交易,124.003,124.171,13.6,-1
1766167744.2368805,2025-12-19 18:09:04,2025-12-20 02:09:04,Strategy_Open,124.003,1.0,0,0.0,193.084295,0.0,Strategy_Signal,124.003,124.171,13.6,-1
1766167800.5378008,2025-12-19 18:10:00,2025-12-20 02:10:00,BarData,123.946,0,0.0,0.0,193.084295,0.0,✅ 触发交易,123.946,124.164,17.6,-1
1766167804.4205978,2025-12-19 18:10:04,2025-12-20 02:10:04,Strategy_Open,123.946,1.0,0,0.0,193.084295,0.0,Strategy_Signal,123.946,124.164,17.6,-1
1766167862.7025986,2025-12-19 18:11:02,2025-12-20 02:11:02,BarData,124.145,0,0.0,0.0,193.084295,0.0,❌ 震荡 (Gap 1.5 < 10),124.145,124.163,1.5,0
1766167921.8446753,2025-12-19 18:12:01,2025-12-20 02:12:01,BarData,123.871,0,0.0,0.0,193.084295,0.0,✅ 触发交易,123.871,124.154,22.8,-1
1766167925.7158976,2025-12-19 18:12:05,2025-12-20 02:12:05,Strategy_Open,123.871,1.0,0,0.0,193.084295,0.0,Strategy_Signal,123.871,124.154,22.8,-1
1766167980.620837,2025-12-19 18:13:00,2025-12-20 02:13:00,BarData,123.8,0,0.0,0.0,193.084295,0.0,✅ 触发交易,123.800,124.142,27.6,-1
1766167984.503248,2025-12-19 18:13:04,2025-12-20 02:13:04,Strategy_Open,123.8,1.0,0,0.0,193.084295,0.0,Strategy_Signal,123.800,124.142,27.6,-1
1766168041.0605724,2025-12-19 18:14:01,2025-12-20 02:14:01,BarData,123.774,0,0.0,0.0,193.084295,0.0,✅ 触发交易,123.774,124.130,28.8,-1
1766168045.073648,2025-12-19 18:14:05,2025-12-20 02:14:05,Strategy_Open,123.774,1.0,0,0.0,193.084295,0.0,Strategy_Signal,123.774,124.130,28.8,-1
