TF,Fast,Slow,Band,TP,SL,ROE,Trades,WinRate
15min,6,60,10,0.05,0.03,8.528499999999994,60,61.66666666666667
15min,6,60,20,0.05,0.03,8.054499999999962,57,61.40350877192983
15min,6,50,10,0.05,0.03,8.032500000000013,57,61.40350877192983
15min,9,26,10,0.05,0.03,8.029999999999987,49,65.3061224489796
15min,9,60,10,0.05,0.03,7.925499999999971,60,60.0
15min,6,26,20,0.05,0.03,7.828999999999979,45,66.66666666666666
15min,6,50,50,0.05,0.03,7.74499999999999,48,64.58333333333334
15min,9,60,20,0.05,0.03,7.687499999999986,56,60.71428571428571
15min,9,50,10,0.05,0.03,7.657499999999999,56,60.71428571428571
15min,6,26,10,0.05,0.03,7.632999999999996,51,62.745098039215684
15min,3,60,30,0.05,0.03,7.536499999999975,54,61.111111111111114
15min,6,15,20,0.05,0.03,7.468500000000006,41,68.29268292682927
15min,3,50,10,0.05,0.03,7.45450000000001,57,59.64912280701754
15min,3,60,20,0.05,0.03,7.445000000000007,57,59.64912280701754
15min,6,20,30,0.05,0.03,7.439999999999984,41,68.29268292682927
15min,6,20,20,0.05,0.03,7.407499999999985,44,65.9090909090909
15min,3,60,10,0.05,0.03,7.383500000000012,60,58.333333333333336
15min,6,50,20,0.05,0.03,7.330499999999971,55,60.0
15min,6,60,30,0.05,0.03,7.32849999999999,55,60.0
15min,3,20,30,0.05,0.03,7.289499999999989,42,66.66666666666666
15min,12,60,10,0.05,0.03,7.263499999999964,63,57.14285714285714
15min,3,26,30,0.05,0.03,7.233499999999977,45,64.44444444444444
15min,6,20,10,0.05,0.03,7.209499999999991,50,62.0
15min,6,50,30,0.05,0.03,7.207499999999982,53,60.37735849056604
15min,9,50,20,0.05,0.03,7.178499999999971,53,60.37735849056604
15min,6,26,30,0.05,0.03,7.15949999999998,45,64.44444444444444
15min,6,60,50,0.05,0.03,7.137499999999989,51,60.78431372549019
15min,6,15,30,0.05,0.03,7.11699999999999,40,67.5
15min,3,20,10,0.05,0.03,7.095000000000027,48,62.5
15min,3,15,10,0.05,0.03,7.081999999999994,48,62.5
15min,3,20,20,0.05,0.03,7.076000000000008,48,62.5
15min,6,15,10,0.05,0.03,7.074000000000012,48,62.5
15min,3,26,50,0.05,0.03,7.063499999999991,40,67.5
